command,user_input,expected_response,asserts
get_camera_images,Take pictures from 2 meters away,"{""command"": ""get_camera_images""}",
get_camera_images,Capture camera images at 2m distance,"{""command"": ""get_camera_images""}",
get_camera_images,Show me what you see from 2 feet away,"{""command"": ""get_camera_images""}",
get_robot_pose,Where are you located?,"{""command"": ""get_robot_pose""}",
get_robot_pose,What's your current position?,"{""command"": ""get_robot_pose""}",
get_robot_pose,Tell me your pose,"{""command"": ""get_robot_pose""}",
move_robot,"Go to coordinates 0,1,0","{""command"": ""move_robot""}",
move_robot,Move to the origin,"{""command"": ""move_robot""}",
move_robot,Navigate to position x=0 y=1 z=0,"{""command"": ""move_robot""}",
pickup_and_place,Pick up cereal1 and put it on the table,"{""command"": ""pickup_and_place""}",
pickup_and_place,"Move the cereal box to [-1.06, 1.71, 0.95]","{""command"": ""pickup_and_place""}",
pickup_and_place,Place cereal1 at target location,"{""command"": ""pickup_and_place""}",
robot_perceive,What's on the main table?,"{""command"": ""robot_perceive""}",
robot_perceive,Scan the table area,"{""command"": ""robot_perceive""}",
robot_perceive,Identify objects in table_area_main,"{""command"": ""robot_perceive""}",
transport_object,"Bring cereal to [1.4, 0.2, 0.95]","{""command"": ""transport_object""}",
transport_object,Deliver the cereal box to target,"{""command"": ""transport_object""}",
transport_object,Move cereal to new location,"{""command"": ""transport_object""}",
calculate_object_distances,How far is cereal from other objects?,"{""command"": ""calculate_object_distances""}",
calculate_object_distances,Measure distances from cereal,"{""command"": ""calculate_object_distances""}",
calculate_object_distances,Calculate cereal's distance to everything,"{""command"": ""calculate_object_distances""}",
look_at_object,Look at the cereal box,"{""command"": ""look_at_object""}",
look_at_object,Focus your gaze on cereal,"{""command"": ""look_at_object""}",
look_at_object,Turn towards cereal,"{""command"": ""look_at_object""}",
detect_object,What objects do you see?,"{""command"": ""detect_object""}",
detect_object,List visible items,"{""command"": ""detect_object""}",
detect_object,Detect all objects in view,"{""command"": ""detect_object""}",
move_and_rotate,Go to origin and turn 60 degrees,"{""command"": ""move_and_rotate""}",
move_and_rotate,"Move to 0,0,0 and rotate","{""command"": ""move_and_rotate""}",
move_and_rotate,Navigate home and face 60°,"{""command"": ""move_and_rotate""}",
move_torso,Raise your torso to high position,"{""command"": ""move_torso""}",
move_torso,Lift your body up,"{""command"": ""move_torso""}",
move_torso,Adjust height to maximum,"{""command"": ""move_torso""}",
park_arms,Put your arms in parked position,"{""command"": ""park_arms""}",
park_arms,Fold your arms,"{""command"": ""park_arms""}",
park_arms,Return arms to default,"{""command"": ""park_arms""}",
get_enhanced_camera_images,Take enhanced photos from 2m,"{""command"": ""get_enhanced_camera_images""}",
get_enhanced_camera_images,Capture annotated images,"{""command"": ""get_enhanced_camera_images""}",
get_enhanced_camera_images,Show me labeled camera views,"{""command"": ""get_enhanced_camera_images""}",
spawn_objects,"Create cereal at [1.4, 0.4, 0.95]","{""command"": ""spawn_objects""}",
spawn_objects,Spawn new cereal box,"{""command"": ""spawn_objects""}",
spawn_objects,Generate object cereal at coordinates,"{""command"": ""spawn_objects""}",
calculate_relative_distances,How far apart are cereal1 and spoon1?,"{""command"": ""calculate_relative_distances""}",
calculate_relative_distances,Measure between cereal and spoon,"{""command"": ""calculate_relative_distances""}",
calculate_relative_distances,Calculate cereal1-spoon1 distance,"{""command"": ""calculate_relative_distances""}",
get_placement_surfaces,What surfaces can I use?,"{""command"": ""get_placement_surfaces""}",
get_placement_surfaces,List available placement areas,"{""command"": ""get_placement_surfaces""}",
get_placement_surfaces,Show me where I can put things,"{""command"": ""get_placement_surfaces""}",
spawn_in_area,Put red cereal on kitchen island,"{""command"": ""spawn_in_area""}",
spawn_in_area,Create test object on surface,"{""command"": ""spawn_in_area""}",
spawn_in_area,Spawn cereal with offset on island,"{""command"": ""spawn_in_area""}",
pick_and_place_on_surface,Pick up cereal1 and place it on the kitchen island with small offset,"{""command"": ""pick_and_place_on_surface""}",
pick_and_place_on_surface,Move the cereal box to island surface,"{""command"": ""pick_and_place_on_surface""}",
pick_and_place_on_surface,Put cereal1 on kitchen island 10cm from edge,"{""command"": ""pick_and_place_on_surface""}",
pick_and_place_on_surface,Relocate cereal to island surface,"{""command"": ""pick_and_place_on_surface""}",
pick_and_place_on_surface,Place cereal1 on counter with offset x=0.1 y=0.1,"{""command"": ""pick_and_place_on_surface""}",
pick_and_place_on_surface,Grab cereal and put it on kitchen island,"{""command"": ""pick_and_place_on_surface""}",
pick_and_place_on_surface,Transfer cereal to island surface,"{""command"": ""pick_and_place_on_surface""}",
pick_and_place_on_surface,Position cereal on island with slight offset,"{""command"": ""pick_and_place_on_surface""}",
pick_and_place_on_surface,Set down cereal on kitchen counter,"{""command"": ""pick_and_place_on_surface""}",
pick_and_place_on_surface,Take cereal1 and move it to island surface,"{""command"": ""pick_and_place_on_surface""}",
